year,women_specific,ministry,scheme,expenditure
2019-20,Women Specific 100% ,Ministry of External Affairs,"Furniture and equipments for the Maternity/Birthing Center at Tribhuvan University Teaching Hospital, Kathmandu",0.22
2019-20,Women Specific 100% ,Ministry of External Affairs,Special programme for women correspondents,0.0
2019-20,Women Specific 100% ,Ministry of External Affairs,Contribution to the Development of learning programme on conduct and discipline for the participants of the pipeline to peacekeeping command programme (PCP) learning,0.78
2019-20,Women Specific 100% ,Ministry of External Affairs,SDP-free health check up for uterine prolapsed cases in women,0.78
2019-20,Women Specific 100% ,Ministry of External Affairs,SDP- revalidation GoI assistance for livelihood improvement women empowerment and awareness programme,0.05
2019-20,Women Specific 100% ,Ministry of External Affairs,Construction of India Palestine Centre for Empowering women in Palestine,0.0
2019-20,Women Specific 100% ,Ministry of External Affairs,Construction of Ladies hostel(Nivedita House) in premises of Ramakrishna Mission in Kuala Lumpur,2.1
2019-20,Women Specific 100% ,Ministry of External Affairs,Women Special Cadre Training,0.32
2019-20,Women Specific 100% ,Ministry of External Affairs,Ministry of External Affairs Total,4.55
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Shree Latinath Higher Secondary School, Darchula",0.7
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of campus building for Marchawar Adarsha Multiple Campus, Majhagawa, Rupandehi District",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Shree Bal Govinda Janata Higher Secondary School, Pipariya 7, Sarlahi",0.11
2019-20,Women Specific 30%,Ministry of External Affairs,Cost of translation of 25 classical and contemporary Books Chinese into Hindi,0.42
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of Science Block for Mahendra Morang Multiple Campus, Biratnagar, Morang District",0.7
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Shree Latinath Higher Secondary School, Darchula",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Baidyanath Devnarayan Public Higher Secondary School, Dhanusha District",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of School building for Shree Depak Secondary School, Tanahun District",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of School building for Shree Depak Secondary School, Tanahun District",0.71
2019-20,Women Specific 30%,Ministry of External Affairs,"Koteshwar Multiple Campus, Kathmandu",0.19
2019-20,Women Specific 30%,Ministry of External Affairs,"Shree Moti Mahila Sangh Primay School, Tinkar, Khalanga, Darchula District",0.48
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of College Building for Adarsha Multiple Campus, Gajuri, Dhading",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Shree Shivbhari Secondary Secondary School, Sisawa-5, Shivbhari, Kapilvastu",0.52
2019-20,Women Specific 30%,Ministry of External Affairs,"Shree Shivbhari Secondary Secondary School, Sisawa-5, Shivbhari, Kapilvastu",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Shree Saraswati Secondary School, Kailali",0.52
2019-20,Women Specific 30%,Ministry of External Affairs,"Shree Bagmati Primary/Secondary School, Phaparbari-2, Bageri",0.17
2019-20,Women Specific 30%,Ministry of External Affairs,Assistance for Construction of School Building and Hostel Building for Shree Jana Prakash Higher Secondary School,0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Shri Bhu Puu Sainik Community Academy, Bayerghari, Syangja District",0.33
2019-20,Women Specific 30%,Ministry of External Affairs,"Tribhuvan Adarsha Multiple Campus, Putalibazar-1, Syangja District",0.35
2019-20,Women Specific 30%,Ministry of External Affairs,"Tribhuvan Adarsha Multiple Campus, Putalibazar-1, Syangja District",0.64
2019-20,Women Specific 30%,Ministry of External Affairs,"Assistance for Construction of Shree Arba Bijaya Secondary School, Kaski",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Gupteshwar Mahadev Multiple Campus, Pokhara, Kaski District",0.33
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of Shree Higher Secondary School, Pathara, Budhram in Rauthat District",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of Library building inside the permises of Shree Saraswati Madhyamik Vidhalaya, Simikot, in Humia District",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of Library building inside the permises of Shree Saraswati Madhyamik Vidhalaya, Simikot, in Humia District",0.47
2019-20,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of Adarsha Multiple Campus, Dhading District",0.49
2019-20,Women Specific 30%,Ministry of External Affairs,GOI assistance to NNJS for eye care programmers in Nepal,213.08
2019-20,Women Specific 30%,Ministry of External Affairs,"HICDP-Revalidation for upgradation of Fateh Bal Eye Hospital, Nepalgung in Banke District",0.27
2019-20,Women Specific 30%,Ministry of External Affairs,Gifting of 60 ambulances and 12 buses to various government hospitals/non-profit charitable organisations and educational institutions in different parts of Nepal on the occasion of ID 2019 and RD 2020,3.84
2019-20,Women Specific 30%,Ministry of External Affairs,HICDP Construction of 25 Community building for Dalit people in 24 villages of Sarlahi District,0.79
2019-20,Women Specific 30%,Ministry of External Affairs,HICDP Construction of building for Purwa Chetriya Police Boarding High School Dharan 1 Sunsari District,0.48
2019-20,Women Specific 30%,Ministry of External Affairs,"HICDP construction of Old Age Home, Jyapu Samaj, Yala, Lalitpur District",1.58
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of Sanitation facility at Pashupati Area Temple Complex, Kathmandu",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Regional Police Secondary School, Dhangadi, Kailali",0.67
2019-20,Women Specific 30%,Ministry of External Affairs,SDP-Construction and renovation of Chyoifel Kundeling Monastery at Lishankhu in Singhupalchowk District,0.1
2019-20,Women Specific 30%,Ministry of External Affairs,"SDP Construction of Academic and Administration Blocks for Mahadev Maasta Chaturdev Campus, Mugu District",0.4
2019-20,Women Specific 30%,Ministry of External Affairs,"SDP Construction of theatre complex cum residential school, Aarohan Gurukul in Morang District",1.02
2019-20,Women Specific 30%,Ministry of External Affairs,SDP Construction of school building for Shree Schoolchaun H S School in Jhapa,0.22
2019-20,Women Specific 30%,Ministry of External Affairs,"SDP Construction of school building for Shree Mahalaxmi Secondary School, Bhimphedi in Makwanpur District",0.19
2019-20,Women Specific 30%,Ministry of External Affairs,"SDP Construction of school building for Shree Sudha Rajeshwar H S School, Chhatauna, Malangwa, Sarlahi District",0.55
2019-20,Women Specific 30%,Ministry of External Affairs,"SDP Construction of school building for Shree Bhairav H S School, Badabhairav, Dailekh District",0.08
2019-20,Women Specific 30%,Ministry of External Affairs,"SDP Construction of school building for Shree Nava Adarsha Multiple Campus, Palpa District",0.09
2019-20,Women Specific 30%,Ministry of External Affairs,"SDP Construction of a school building and Hostel building for Laxmi Higher Secondary School, Tansen in Palpa District",0.44
2019-20,Women Specific 30%,Ministry of External Affairs,"Rambha Higher Secondary School, Tahun VDC",0.31
2019-20,Women Specific 30%,Ministry of External Affairs,"SDP Construction of Shree Mahadev Maasta Chaturdev Campus, Mugu District",0.13
2019-20,Women Specific 30%,Ministry of External Affairs,SDP Construction of School Building of Shree Janakalyan Higher Secondary School in Makwanpur District,0.47
2019-20,Women Specific 30%,Ministry of External Affairs,SDP Renovation of Tashop (Tre) Gompa in Manag District,0.2
2019-20,Women Specific 30%,Ministry of External Affairs,"SDP Construction of Shree Bhimsen Higher Secondary School at Devchulli-6, Rambas in Nawalparasi District",0.16
2019-20,Women Specific 30%,Ministry of External Affairs,SDP upgradation of infrastructure for Shree Bhairav Higher Secondary School in Dailekh District,0.06
2019-20,Women Specific 30%,Ministry of External Affairs,Gandhi Global Family Nepal for Diabetic Patiant Screening,0.48
2019-20,Women Specific 30%,Ministry of External Affairs,"School building, Hostal block and play ground for Purwa Chhetriya Police Boarding Higher School, Dharan",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of Mahendra Higher Secondary School, Bayalpata, Achham",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"School Building for Balabhadra Janata Higher Secondary School, Jhapa",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,Shree aRANIKO hIGHER sECONDARY sCHOOL,0.0
2019-20,Women Specific 30%,Ministry of External Affairs,Shree Siddhanath Higher Secondary School,0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Shree Aurobindo Ashram School, Thankot",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of monestry building for Shree Pal Evam, Namgyal Monastic Chooonup, Mustang",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Shree Tribhuvan Trishuli Higher Secondary School, Nuwakot",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Tribhuvan Janata Hr Sec School, Misikot, Rukum",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,Shree Rm Sakhi Mohit Singh Higher Secondary School,0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Cooperative Promotion Centre, Lalitpur",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"Construction of hostel building for Sinam Hr Secondary Schooo, Taplejung",0.0
2019-20,Women Specific 30%,Ministry of External Affairs,"As part of the 41st book committee, out of 321 selected titles, 8 women titles has been selected among the 8 titles, 572 copies have been requested by Missions/Posts",0.05
2019-20,Women Specific 30%,Ministry of External Affairs,Ministry of External Affairs Total,232.79
2019-20,Women Specific 30%,Ministry of Housing and Urban Affairs,Pradhan Mantri Awas Yojana (Urban),0.0
2019-20,Women Specific 30%,Ministry of Housing and Urban Affairs,Deendayal Antodya Yojana - National Urban Livelihoods Mission (DAY-NULM),0.0
2019-20,Women Specific 30%,Ministry of Housing and Urban Affairs,Ministry of Housing and Urban Affairs Total,0.0
2019-20,Women Specific 30%,Ministry of Labour and Employment,National Child Labour Project including grants in aid to voluntary agencies and reimbursement of assistance to bonded labour,77.48
2019-20,Women Specific 100% ,"Ministry of Micro, Small and Medium Enterprises",Mahila Coir Yojna,0.0
2019-20,Women Specific 100% ,Ministry of Minority Affairs,Scheme for Leadership Development of Minority Women,7.1
2019-20,Women Specific 30%,Ministry of Minority Affairs,Pradhan Mantri Jan Vikas Karyakaram,509.48
2019-20,Women Specific 30%,Ministry of Minority Affairs,Scheme for Leadership Development of Minority Women,4.19
2019-20,Women Specific 30%,Ministry of Minority Affairs,Skill Development Initiatives,52.66
2019-20,Women Specific 30%,Ministry of Minority Affairs,Merit cum Means for professional and Technical Courses,85.68
2019-20,Women Specific 30%,Ministry of Minority Affairs,Pre Matric Schollarship for Minorities,397.45
2019-20,Women Specific 30%,Ministry of Minority Affairs,Pre Matric Schollarship for Minorities,128.63
2019-20,Women Specific 30%,Ministry of Minority Affairs,Post Matric Scholoarship for Minorities,30.0
2019-20,Women Specific 30%,Ministry of Minority Affairs,Multi-sectoral Development Programme,10.33
2019-20,Women Specific 30%,Ministry of Minority Affairs,Nai Manzil,16.34
2019-20,Women Specific 30%,Ministry of Minority Affairs,Interest Subsidy on Educational Loan for overseas studies,4.33
2019-20,Women Specific 30%,Ministry of Minority Affairs,Education Scheme for Madarsas and Minorities,0.0
2019-20,Women Specific 30%,Ministry of Minority Affairs,Ministry of Minority Affairs Total,1239.09
2019-20,Women Specific 30%,Ministry of New and Renewable Energy,Biogas Programme,35.93
2019-20,Women Specific 30%,Ministry of New and Renewable Energy,Human Resource Development and Training,62.11
2019-20,Women Specific 30%,Ministry of New and Renewable Energy,Ministry of New and Renewable Energy Total,98.04
2019-20,Women Specific 100% ,Ministry of Petroleum and Natural Gas,LPG connection to Poor Households,3724.0
2019-20,Women Specific 30%,Ministry of Petroleum and Natural Gas,Indian Institute of Petroleum Energy,0.0
2019-20,Women Specific 30%,Ministry of Petroleum and Natural Gas,"Establishment of Rajiv Gandhi Institute of Petroleum and Technology, Assam",0.0
2019-20,Women Specific 30%,Ministry of Petroleum and Natural Gas,"Establishment of Center of Excellence for Energy, Bangalore",0.0
2019-20,Women Specific 30%,Ministry of Petroleum and Natural Gas,Ministry of Petroleum and Natural Gas Total,0.0
2019-20,Women Specific 100% ,Ministry of Railways,Integrated Emergency Response Management System,0.0
2019-20,Women Specific 100% ,Ministry of Road Transport and Highways,Scheme for Safety of Women on Public Road Transport,66.42
2019-20,Women Specific 30%,Ministry of Road Transport and Highways,Scheme for Safety of Women on Public Road Transport,66.42
2019-20,Women Specific 100% ,Ministry of Skill Development and Entrepreneurship,National Skill Training Institution,0.0
2019-20,Women Specific 30%,Ministry of Skill Development and Entrepreneurship,National Apprenticeship Promotion Scheme,0.0
2019-20,Women Specific 30%,Ministry of Textiles,Development of Silk Industries,236.28
2019-20,Women Specific 30%,Ministry of Textiles,Comprehensive Handloom weavers Scheme,2.41
2019-20,Women Specific 30%,Ministry of Textiles,Comprehensive Handloom weavers Scheme,42.66
2019-20,Women Specific 30%,Ministry of Textiles,Ambedkar Hastshilip Vikas Yojna,1.79
2019-20,Women Specific 30%,Ministry of Textiles,Design and Technology Upgradation,20.54
2019-20,Women Specific 30%,Ministry of Textiles,Marketing Support Service and Export Promotion,12.65
2019-20,Women Specific 30%,Ministry of Textiles,Research and Development,2.63
2019-20,Women Specific 30%,Ministry of Textiles,Research and Development,4.13
2019-20,Women Specific 30%,Ministry of Textiles,Human Resource Development Scheme,7.02
2019-20,Women Specific 30%,Ministry of Textiles,National Handloom Development Programme,37.46
2019-20,Women Specific 30%,Ministry of Textiles,Integrated Wool Development,4.95
2019-20,Women Specific 30%,Ministry of Textiles,Ministry of Textiles Total,372.52
2019-20,Women Specific 30%,Ministry of Tribal Affairs,Post Matric Scholarship,559.0
2019-20,Women Specific 30%,Ministry of Tribal Affairs,"Tribal Festivals, Research information and mass Education",132.0
2019-20,Women Specific 30%,Ministry of Tribal Affairs,Special Central Asistance to Tribal Sub Plan,405.0
2019-20,Women Specific 30%,Ministry of Tribal Affairs,Special Central Asistance to Tribal Sub Plan,799.0
2019-20,Women Specific 30%,Ministry of Tribal Affairs,National Fellowship and Scholarship for Higher Education of ST Students,30.0
2019-20,Women Specific 30%,Ministry of Tribal Affairs,Scholarship to the ST students for Studies abroad,0.57
2019-20,Women Specific 30%,Ministry of Tribal Affairs,Eklavya Model Residential School,4.86
2019-20,Women Specific 30%,Ministry of Tribal Affairs,Aid to Voluntary Organizations working for the welfare of Scheduled Tribes,28.45
2019-20,Women Specific 30%,Ministry of Tribal Affairs,Development of Particularly Vulnerable Tribal Groups (PVTGs),75.0
2019-20,Women Specific 30%,Ministry of Tribal Affairs,Ministry of Tribal Affairs Total,2033.88
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Gender Budgeting,2.83
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Pradhan Mantri Matru Vandana Yojana,2238.97
2019-20,Women Specific 100% ,Ministry of Women and Child Development,One Stop Centre,137.59
2019-20,Women Specific 100% ,Ministry of Women and Child Development,One Stop Centre,0.04
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Beti Bachao Beti Padhao,85.78
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Women Helpline,11.34
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Central Social Welfare Board,74.89
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Rashtriya Mahila Kosh,23.37
2019-20,Women Specific 100% ,Ministry of Women and Child Development,National Commission for Women,105.46
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Mahila Shakti Kendra,23.97
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Swadhar Greh,25.49
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Ujjawala,9.35
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Working Women Hostel,32.55
2019-20,Women Specific 100% ,Ministry of Women and Child Development,"Gender Budgeting and Research, Publication and Monitoring",2.83
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Mahila Police Volunteer,1.14
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Home for Widows,0.0
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Saksham Anganwadi and Poshan 2.0,0.0
2019-20,Women Specific 100% ,Ministry of Women and Child Development,SAMBAL,0.0
2019-20,Women Specific 100% ,Ministry of Women and Child Development,SAMARTHYA,0.0
2019-20,Women Specific 100% ,Ministry of Women and Child Development,Ministry of Women and Child Development Total,2775.6
2019-20,Women Specific 30%,Ministry of Women and Child Development,Anganwadi Services,10843.98
2019-20,Women Specific 30%,Ministry of Women and Child Development,National Nutrition Mission,1316.06
2019-20,Women Specific 30%,Ministry of Women and Child Development,National Creche Scheme,35.82
2019-20,Women Specific 30%,Ministry of Women and Child Development,National Institute of Public Cooperation and Child Development,33.28
2019-20,Women Specific 30%,Ministry of Women and Child Development,National Institute of Public Cooperation and Child Development,5.34
2019-20,Women Specific 30%,Ministry of Women and Child Development,National Child Rights (NCPCR),9.51
2019-20,Women Specific 30%,Ministry of Women and Child Development,National Child Rights (NCPCR),519.49
2019-20,Women Specific 30%,Ministry of Women and Child Development,Saksham Anganwadi and Poshan 2.0,0.0
2019-20,Women Specific 30%,Ministry of Women and Child Development,Mission Vatsalya,0.0
2019-20,Women Specific 30%,Ministry of Women and Child Development,Ministry of Women and Child Development Total,12763.48
2019-20,Women Specific 30%,Ministry of Youth Affairs and Sports,Scouting and Guiding,0.23
2019-20,Women Specific 30%,Ministry of Youth Affairs and Sports,Rajiv Gandhi National Institute of Youth Development,13.87
2019-20,Women Specific 30%,Ministry of Youth Affairs and Sports,Scheme of Human Resource Development in Sports,1.43
2019-20,Women Specific 30%,Ministry of Youth Affairs and Sports,Scheme of Human Resource Development in Sports,6.08
2019-20,Women Specific 30%,Ministry of Youth Affairs and Sports,National Programme for Youth and Adolescent Development,22.5
2019-20,Women Specific 30%,Ministry of Youth Affairs and Sports,National Service Scheme,45.48
2019-20,Women Specific 30%,Ministry of Youth Affairs and Sports,Youth Hostel,0.38
2019-20,Women Specific 30%,Ministry of Youth Affairs and Sports,National Service Scheme,108.95
2019-20,Women Specific 30%,Ministry of Youth Affairs and Sports,Ministry of Youth Affairs and Sports Total,198.92
2019-20,Women Specific 100% ,Police,"Schemes like Day Care Centre, Gender Sensitization, Health and Nutritional Care Centre etc. of Sashastra Seema Bal",0.24
2019-20,Women Specific 100% ,Police,"Opening of Creche, Day Care Centre, Gender Sensitization, Health Care Centre, Nutritional Care Centre, Womens Rest rooms by ITBP",0.05
2019-20,Women Specific 100% ,Police,Women Training Programmes viz course on Self Development and Conflict Mangement for women police officers of the rank of Dy SP to ASI,0.02
2019-20,Women Specific 100% ,Police,Washing Drying/ Women laudry,0.02
2019-20,Women Specific 100% ,Police,Washing Drying/ Women laudry,0.0
2019-20,Women Specific 100% ,Police,"Organising courses on crime against women vis a vis Human Rights, Juvenile Justice and Investigation of female feticide cases",0.14
2019-20,Women Specific 100% ,Police,Provision for the infrastructure in Womens Rest Room and creche and for women health care centres,0.01
2019-20,Women Specific 100% ,Police,"Organising courses on crime against women vis a vis Human Rights, Juvenile Justice and Investigation of female feticide cases",0.01
2019-20,Women Specific 100% ,Police,Provision for the infrastructure in Womens Rest Room and creche and for women health care centres,11.38
2019-20,Women Specific 100% ,Police,"Creche Facilities, Yoga Centre and Health Mela",0.09
2019-20,Women Specific 100% ,Police,Nutritional Health Care for Women Trainee and Women employees of CDTs,0.02
2019-20,Women Specific 100% ,Police,Women Specific Programme of BSF,0.4
2019-20,Women Specific 100% ,Police,Women Specific Programme of Assam Rifles,0.13
2019-20,Women Specific 100% ,Police,"Organising the Workshop/ Seminar on Trafficking in persons role of Police, in the States to sensitise Police Officers",0.49
2019-20,Women Specific 100% ,Police,Police Total,13.0
2019-20,Women Specific 30%,Police,"Opening of Creche, Day Care Centre, Gender Sensitization, Health Care Centre, Nutritional Care Centre, Womens Rest rooms by ITBP",0.05
2019-20,Women Specific 30%,Police,Pandit Gobin Ballabh Pant Award Scheme for books in Hindi,0.01
2019-20,Women Specific 30%,Police,Pandit Gobin Ballabh Pant Award Scheme for books in Hindi,0.02
2019-20,Women Specific 30%,Police,creche facilities,0.09
2019-20,Women Specific 30%,Police,creche facilities,0.31
2019-20,Women Specific 30%,Police,Police Total,0.48
